manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize
toyota,toyota tacoma 4wd,4,2008,6,manual(m6),4,15,18,r,pickup
dodge,dakota pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv
