drv,moDEl,DISPL,ctY,YEAR,ManUfActUrer,cyl,cLasS,fl
f,malibu,3.1,18,1999,chevrolet,6,midsize,r
4,pathfinder 4wd,3.3,15,1999,nissan,6,suv,r
f,camry,3,18,1999,toyota,6,midsize,r
4,range rover,4.4,12,2008,land rover,8,suv,r
f,altima,2.5,23,2008,nissan,4,midsize,r
f,a4,2,20,2008,audi,4,compact,p
4,ram 1500 pickup 4wd,5.9,11,1999,dodge,8,pickup,r
f,a4,3.1,18,2008,audi,6,compact,p
4,toyota tacoma 4wd,4,15,2008,toyota,6,pickup,r
f,sonata,2.4,21,2008,hyundai,4,midsize,r
f,new beetle,2,21,1999,volkswagen,4,subcompact,r
f,a4,2.8,16,1999,audi,6,compact,p
r,c1500 suburban 2wd,5.7,13,1999,chevrolet,8,suv,r
f,caravan 2wd,3.3,11,2008,dodge,6,minivan,e
r,expedition 2wd,5.4,11,1999,ford,8,suv,r
f,new beetle,2.5,20,2008,volkswagen,5,subcompact,r
f,altima,3.5,19,2008,nissan,6,midsize,p
f,caravan 2wd,2.4,18,1999,dodge,4,minivan,r
4,impreza awd,2.2,21,1999,subaru,4,subcompact,r
4,f150 pickup 4wd,4.2,14,1999,ford,6,pickup,r
